캠페인 이름,광고 세트 이름,광고 이름,연령,성,일,결과,도달수,노출,결과당 비용,지출 금액 (KRW),빈도,고유 링크 클릭,링크 클릭,랜딩 페이지 조회,랜딩 페이지 조회당 비용,CPC(링크 클릭당 비용),"CPM(1,000회 노출당 비용)",CTR(전체),페이지 참여,페이지 좋아요,게시물 댓글,게시물 참여,게시물 공감,게시물 저장,게시물 공유,사진 조회,고유 아웃바운드 클릭,보고 시작,보고 종료,광고 세트,광고 위치
4 (전체),4 (인스타피드),4 - 2(인스타피드 상세),25-34,female,2021-03-26,7.0,201,202,314.85714285714,2204.0,1.0049751243781,7.0,7.0,7.0,314.85714286,314.85714286,10910.89108911,4.45544554,9.0,,,9.0,,2.0,,,7.0,2021-03-26,2021-03-26,4,인스타피드
4 (전체),4 (인스타피드),4 - 1(인스타피드 상세),25-34,female,2021-03-26,,3,3,,18.0,1.0,,,,,,6000.0,0.0,,,,,,,,,,2021-03-26,2021-03-26,4,인스타피드
4 (전체),4 (인스타피드),4 - 1(인스타피드 상세),18-24,female,2021-03-26,,4,4,,47.0,1.0,,,,,,11750.0,25.0,,,,,,,,,,2021-03-26,2021-03-26,4,인스타피드
3 (전체),3 (인스타스토리),3 - 2(인스타스토리 상세),18-24,female,2021-03-26,,1,1,,1.0,1.0,,,,,,1000.0,0.0,,,,,,,,,,2021-03-26,2021-03-26,3,인스타스토리
3 (전체),3 (인스타피드),3 - 1(인스타피드 상세),25-34,female,2021-03-26,7.0,210,211,320.57142857143,2244.0,1.0047619047619,7.0,7.0,6.0,374.0,320.57142857,10635.07109005,4.26540284,8.0,,,8.0,1.0,,,,7.0,2021-03-26,2021-03-26,3,인스타피드
3 (전체),3 (인스타스토리),3 - 1(인스타스토리 상세),18-24,female,2021-03-26,8.0,352,352,284.375,2275.0,1.0,8.0,8.0,7.0,325.0,284.375,6463.06818182,2.27272727,8.0,,,8.0,,,,,8.0,2021-03-26,2021-03-26,3,인스타스토리
3 (전체),3 (인스타피드),3 - 1(인스타피드 상세),18-24,female,2021-03-26,15.0,728,731,384.86666666667,5773.0,1.0041208791209,15.0,15.0,13.0,444.07692308,384.86666667,7897.40082079,2.4623803,20.0,,,20.0,1.0,4.0,,,15.0,2021-03-26,2021-03-26,3,인스타피드
3 (전체),3 (인스타피드),3 - 2(인스타피드 상세),25-34,female,2021-03-26,,1,1,,2.0,1.0,,,,,,2000.0,0.0,,,,,,,,,,2021-03-26,2021-03-26,3,인스타피드
3 (전체),3 (인스타피드),3 - 2(인스타피드 상세),18-24,female,2021-03-26,,2,2,,8.0,1.0,,,,,,4000.0,0.0,,,,,,,,,,2021-03-26,2021-03-26,3,인스타피드
2 (전체),2 (인스타스토리),2 - 1(인스타스토리 상세),18-24,male,2021-03-26,2.0,36,37,67.5,135.0,1.0277777777778,2.0,2.0,2.0,67.5,67.5,3648.64864865,5.40540541,2.0,,,2.0,,,,,2.0,2021-03-26,2021-03-26,2,인스타스토리
