캠페인 이름,광고 세트 이름,광고 이름,연령,성,일,결과,도달수,노출,결과당 비용,지출 금액 (KRW),빈도,고유 링크 클릭,링크 클릭,랜딩 페이지 조회,랜딩 페이지 조회당 비용,CPC(링크 클릭당 비용),"CPM(1,000회 노출당 비용)",CTR(전체),페이지 참여,페이지 좋아요,게시물 댓글,게시물 참여,게시물 공감,게시물 저장,게시물 공유,사진 조회,고유 아웃바운드 클릭,보고 시작,보고 종료,광고 세트,광고 위치
6 (전체),6 (페이스북),6 - 2(페이스북 상세),35-44,unknown,2021-03-26,,1,1,,2.0,1.0,,,,,,2000.0,0.0,,,,,,,,,,2021-03-26,2021-03-26,6,페이스북
6 (전체),6 (인스타피드),6 - 2(인스타피드 상세),35-44,female,2021-03-26,1.0,9,9,70.0,70.0,1.0,1.0,1.0,1.0,70.0,70.0,7777.77777778,11.11111111,1.0,,,1.0,,,,,1.0,2021-03-26,2021-03-26,6,인스타피드
6 (전체),6 (인스타피드),6 - 2(인스타피드 상세),25-34,male,2021-03-26,,7,7,,72.0,1.0,,,,,,10285.71428571,0.0,,,,,,,,,,2021-03-26,2021-03-26,6,인스타피드
1 (전체),1 (페이스북),1 - 2(페이스북 상세),18-24,male,2021-03-26,,9,9,,64.0,1.0,,,,,,7111.11111111,0.0,,,,,,,,,,2021-03-26,2021-03-26,1,페이스북
6 (전체),6 (페이스북),6 - 1(페이스북 상세),35-44,female,2021-03-26,,71,71,,510.0,1.0,,,,,,7183.09859155,0.0,,,,,,,,,,2021-03-26,2021-03-26,6,페이스북
7 (전체),7 (인스타스토리),7 - 2(인스타스토리 상세),25-34,male,2021-03-26,,1,1,,3.0,1.0,,,,,,3000.0,0.0,,,,,,,,,,2021-03-26,2021-03-26,7,인스타스토리
7 (전체),7 (인스타스토리),7 - 2(인스타스토리 상세),35-44,female,2021-03-26,,1,1,,20.0,1.0,,,,,,20000.0,0.0,,,,,,,,,,2021-03-26,2021-03-26,7,인스타스토리
7 (전체),7 (인스타스토리),7 - 2(인스타스토리 상세),25-34,female,2021-03-26,,5,5,,23.0,1.0,,,,,,4600.0,0.0,,,,,,,,,,2021-03-26,2021-03-26,7,인스타스토리
6 (전체),6 (페이스북),6 - 1(페이스북 상세),25-34,unknown,2021-03-26,,2,2,,15.0,1.0,,,,,,7500.0,0.0,,,,,,,,,,2021-03-26,2021-03-26,6,페이스북
6 (전체),6 (페이스북),6 - 1(페이스북 상세),45-54,male,2021-03-26,,34,36,,220.0,1.0588235294118,,,,,,6111.11111111,0.0,,,,,,,,,,2021-03-26,2021-03-26,6,페이스북
6 (전체),6 (페이스북),6 - 1(페이스북 상세),35-44,male,2021-03-26,,46,47,,298.0,1.0217391304348,,,,,,6340.42553191,0.0,,,,,,,,,,2021-03-26,2021-03-26,6,페이스북
6 (전체),6 (페이스북),6 - 1(페이스북 상세),25-34,female,2021-03-26,11.0,320,332,298.45454545455,3283.0,1.0375,11.0,11.0,9.0,364.77777778,298.45454545,9888.55421687,6.02409639,13.0,,,13.0,,,2.0,,11.0,2021-03-26,2021-03-26,6,페이스북
6 (전체),6 (인스타피드),6 - 2(인스타피드 상세),35-44,male,2021-03-26,,3,3,,10.0,1.0,,,,,,3333.33333333,0.0,,,,,,,,,,2021-03-26,2021-03-26,6,인스타피드
6 (전체),6 (페이스북),6 - 1(페이스북 상세),45-54,female,2021-03-26,3.0,63,63,123.0,369.0,1.0,3.0,3.0,3.0,123.0,123.0,5857.14285714,6.34920635,3.0,,,3.0,,,,,3.0,2021-03-26,2021-03-26,6,페이스북
6 (전체),6 (페이스북),6 - 1(페이스북 상세),25-34,male,2021-03-26,2.0,91,96,371.5,743.0,1.0549450549451,2.0,2.0,2.0,371.5,371.5,7739.58333333,2.08333333,2.0,,,2.0,,,,,2.0,2021-03-26,2021-03-26,6,페이스북
1 (전체),1 (페이스북),1 - 3(페이스북 상세),13-17,female,2021-03-26,7.0,311,355,243.71428571429,1706.0,1.1414790996785,6.0,7.0,6.0,284.33333333,243.71428571,4805.63380282,4.22535211,8.0,,,8.0,1.0,,,,6.0,2021-03-26,2021-03-26,1,페이스북
1 (전체),1 (페이스북),1 - 3(페이스북 상세),13-17,male,2021-03-26,,160,185,,527.0,1.15625,,,,,,2848.64864865,0.54054054,1.0,,,1.0,,1.0,,,,2021-03-26,2021-03-26,1,페이스북
1 (전체),1 (페이스북),1 - 3(페이스북 상세),18-24,female,2021-03-26,2.0,28,28,74.0,148.0,1.0,2.0,2.0,2.0,74.0,74.0,5285.71428571,7.14285714,2.0,,,2.0,,,,,2.0,2021-03-26,2021-03-26,1,페이스북
1 (전체),1 (페이스북),1 - 3(페이스북 상세),18-24,male,2021-03-26,,17,17,,72.0,1.0,,,,,,4235.29411765,0.0,,,,,,,,,,2021-03-26,2021-03-26,1,페이스북
1 (전체),1 (인스타스토리),1 - 1(인스타스토리 상세),13-17,female,2021-03-26,3.0,217,219,299.0,897.0,1.0092165898618,3.0,3.0,3.0,299.0,299.0,4095.89041096,1.36986301,3.0,,,3.0,,,,,3.0,2021-03-26,2021-03-26,1,인스타스토리
