광고 세트 이름,연령,성,일,캠페인 이름,결과,도달수,노출,결과당 비용,지출 금액 (KRW),빈도,고유 링크 클릭,링크 클릭,랜딩 페이지 조회,랜딩 페이지 조회당 비용,페이지 참여,게시물 댓글,게시물 참여,게시물 공감,게시물 저장,게시물 공유,보고 시작,보고 종료
10 (페이스북),25-34,female,2021-03-26,10 (전체),1,70,71,652,652,1.014285714,1,1,,,1,,1,,,,2021-03-26,2021-03-26
10 (페이스북),25-34,male,2021-03-26,10 (전체),,30,31,,198,1.033333333,,,,,,,,,,,2021-03-26,2021-03-26
10 (페이스북),18-24,unknown,2021-03-26,10 (전체),,1,1,,32,1,,,,,,,,,,,2021-03-26,2021-03-26
7 (페이스북),45-54,unknown,2021-03-26,7 (전체),,1,1,,0,1,,,,,,,,,,,2021-03-26,2021-03-26
7 (페이스북),25-34,male,2021-03-26,7 (전체),,12,12,,66,1,,,,,,,,,,,2021-03-26,2021-03-26
7 (인스타피드),25-34,female,2021-03-26,7 (전체),8,296,298,488.75,3910,1.006756757,8,8,8,488.75,11,,11,3,,,2021-03-26,2021-03-26
7 (인스타피드),45-54,female,2021-03-26,7 (전체),2,29,29,214,428,1,2,2,2,214,2,,2,,,,2021-03-26,2021-03-26
5 (페이스북),18-24,female,2021-03-26,5 (전체),,28,34,,421,1.214285714,,,,,,,,,,,2021-03-26,2021-03-26
9 (인스타피드),18-24,male,2021-03-26,9 (전체),1,63,65,483,483,1.031746032,1,1,1,483,2,,2,1,,,2021-03-26,2021-03-26
8 (페이스북),35-44,female,2021-03-26,8 - 여자 (전체),,2,2,,23,1,,,,,,,,,,,2021-03-26,2021-03-26
6 (페이스북),25-34,male,2021-03-26,6 (전체),3,106,115,301.6666667,905,1.08490566,3,3,3,301.6666667,3,,3,,,,2021-03-26,2021-03-26
6 (인스타스토리),25-34,unknown,2021-03-26,6 (전체),,1,1,,2,1,,,,,,,,,,,2021-03-26,2021-03-26
6 (인스타스토리),25-34,male,2021-03-26,6 (전체),,3,3,,30,1,,,,,,,,,,,2021-03-26,2021-03-26
6 (인스타스토리),25-34,female,2021-03-26,6 (전체),,6,7,,47,1.166666667,,,,,,,,,,,2021-03-26,2021-03-26
9 (인스타피드),18-24,female,2021-03-26,9 (전체),12,583,589,382.25,4587,1.010291595,12,12,11,417,14,,14,,2,,2021-03-26,2021-03-26
9 (인스타피드),25-34,female,2021-03-26,9 (전체),6,207,209,370,2220,1.009661836,6,6,6,370,9,,9,,3,,2021-03-26,2021-03-26
9 (인스타피드),25-34,male,2021-03-26,9 (전체),,34,34,,286,1,,,,,,,,,,,2021-03-26,2021-03-26
6 (페이스북),35-44,female,2021-03-26,6 (전체),,76,76,,556,1,,,,,,,,,,,2021-03-26,2021-03-26
9 (인스타피드),18-24,unknown,2021-03-26,9 (전체),,3,3,,12,1,,,,,,,,,,,2021-03-26,2021-03-26
5 (인스타피드),Unknown,unknown,2021-03-26,5 (전체),,2,2,,16,1,,,,,,,,,,,2021-03-26,2021-03-26
5 (인스타피드),18-24,female,2021-03-26,5 (전체),6,206,207,359.8333333,2159,1.004854369,6,6,6,359.8333333,8,,8,2,,,2021-03-26,2021-03-26
5 (인스타피드),35-44,female,2021-03-26,5 (전체),2,17,17,158.5,317,1,2,2,1,317,2,,2,,,,2021-03-26,2021-03-26
5 (인스타피드),25-34,female,2021-03-26,5 (전체),25,585,589,313.64,7841,1.006837607,24,25,21,373.3809524,34,,34,2,5,2,2021-03-26,2021-03-26
5 (인스타스토리),18-24,female,2021-03-26,5 (전체),,19,19,,173,1,,,,,,,,,,,2021-03-26,2021-03-26
5 (인스타스토리),25-34,female,2021-03-26,5 (전체),1,37,38,335,335,1.027027027,1,1,1,335,1,,1,,,,2021-03-26,2021-03-26
5 (페이스북),35-44,female,2021-03-26,5 (전체),,10,11,,63,1.1,,,,,,,,,,,2021-03-26,2021-03-26
6 (페이스북),25-34,female,2021-03-26,6 (전체),11,334,347,311.9090909,3431,1.038922156,11,11,9,381.2222222,14,,14,1,,2,2021-03-26,2021-03-26
6 (페이스북),35-44,male,2021-03-26,6 (전체),,49,50,,362,1.020408163,,,,,,,,,,,2021-03-26,2021-03-26
9 (페이스북),18-24,female,2021-03-26,9 (전체),13,493,542,330.0769231,4291,1.099391481,13,13,12,357.5833333,13,,13,,,,2021-03-26,2021-03-26
6 (인스타피드),45-54,male,2021-03-26,6 (전체),,2,2,,9,1,,,,,,,,,,,2021-03-26,2021-03-26
9 (페이스북),25-34,female,2021-03-26,9 (전체),6,168,177,278.6666667,1672,1.053571429,4,6,4,418,6,,6,,,,2021-03-26,2021-03-26
9 (페이스북),25-34,male,2021-03-26,9 (전체),2,37,38,134.5,269,1.027027027,2,2,2,134.5,2,,2,,,,2021-03-26,2021-03-26
9 (페이스북),18-24,male,2021-03-26,9 (전체),1,90,104,720,720,1.155555556,1,1,1,720,1,,1,,,,2021-03-26,2021-03-26
7 (인스타스토리),25-34,male,2021-03-26,7 (전체),,1,1,,3,1,,,,,,,,,,,2021-03-26,2021-03-26
7 (인스타스토리),35-44,female,2021-03-26,7 (전체),,4,4,,37,1,,,,,,,,,,,2021-03-26,2021-03-26
7 (인스타스토리),25-34,female,2021-03-26,7 (전체),1,9,9,70,70,1,1,1,1,70,1,,1,,,,2021-03-26,2021-03-26
6 (인스타피드),13-17,unknown,2021-03-26,6 (전체),,1,1,,2,1,,,,,,,,,,,2021-03-26,2021-03-26
6 (인스타피드),35-44,unknown,2021-03-26,6 (전체),,1,1,,3,1,,,,,,,,,,,2021-03-26,2021-03-26
6 (인스타피드),Unknown,unknown,2021-03-26,6 (전체),,2,2,,4,1,,,,,,,,,,,2021-03-26,2021-03-26
6 (페이스북),45-54,male,2021-03-26,6 (전체),,40,42,,242,1.05,,,,,,,,,,,2021-03-26,2021-03-26
6 (인스타피드),25-34,unknown,2021-03-26,6 (전체),,4,4,,58,1,,,,,,,,,,,2021-03-26,2021-03-26
6 (인스타피드),45-54,female,2021-03-26,6 (전체),,4,4,,160,1,,,,,,,,,,,2021-03-26,2021-03-26
6 (인스타피드),35-44,male,2021-03-26,6 (전체),,13,13,,115,1,,,,,,,,,,,2021-03-26,2021-03-26
6 (인스타피드),35-44,female,2021-03-26,6 (전체),3,76,77,333,999,1.013157895,3,3,2,499.5,3,,3,,,,2021-03-26,2021-03-26
6 (인스타피드),25-34,male,2021-03-26,6 (전체),7,82,82,151,1057,1,7,7,6,176.1666667,7,,7,,,,2021-03-26,2021-03-26
6 (인스타피드),25-34,female,2021-03-26,6 (전체),19,450,452,303.7368421,5771,1.004444444,19,19,16,360.6875,25,,25,1,5,,2021-03-26,2021-03-26
6 (페이스북),35-44,unknown,2021-03-26,6 (전체),,1,1,,2,1,,,,,,,,,,,2021-03-26,2021-03-26
6 (페이스북),25-34,unknown,2021-03-26,6 (전체),,2,2,,15,1,,,,,,,,,,,2021-03-26,2021-03-26
7 (페이스북),25-34,unknown,2021-03-26,7 (전체),,1,1,,16,1,,,,,,,,,,,2021-03-26,2021-03-26
